fold,mse,rmse,mae,spear,pear,model_type,n_final_feats,feat_sel,model_class
0,0.0025289176684362,0.0502883452545045,0.0433053204117525,0.4102634455423219,0.4401879345585824,linear_sfm_linear,5,linear_sfm,linear
1,0.0016338099040272,0.0404204144465056,0.0316220182577888,0.565422393079795,0.6285866718730311,linear_sfm_linear,5,linear_sfm,linear
2,0.0016198117004845,0.0402468843574822,0.0319131026203973,0.6065353077689902,0.6408406850517067,linear_sfm_linear,5,linear_sfm,linear
3,0.0025492951784853,0.0504905454365995,0.0428079125185745,0.4162088835756622,0.5117509142518459,linear_sfm_linear,5,linear_sfm,linear
4,0.0016375431278837,0.0404665680269996,0.0327324661651024,0.6554256890841413,0.6965968135183623,linear_sfm_linear,5,linear_sfm,linear
0,0.0025292303864927,0.0502914544082065,0.0433211965429863,0.4099085685598094,0.4400966261774963,linear_sfm_ridge,5,linear_sfm,ridge
1,0.0016774385677215,0.0409565448704059,0.0320326522411764,0.5536887114670758,0.6159788608793744,linear_sfm_ridge,5,linear_sfm,ridge
2,0.0016204928551142,0.0402553456712805,0.0319285432185916,0.6065908916245702,0.6406859523483706,linear_sfm_ridge,5,linear_sfm,ridge
3,0.0025835554920796,0.050828687687955,0.0434038298746929,0.3956957894790835,0.501941675106583,linear_sfm_ridge,5,linear_sfm,ridge
4,0.0016374808324014,0.040465798304265,0.0327382528723127,0.6555069098199204,0.6966143619825675,linear_sfm_ridge,5,linear_sfm,ridge
0,0.0023709526950767,0.0486924295458411,0.0375993299839591,0.45121111857272,0.5129829010617997,linear_sfm_et,5,linear_sfm,et
1,0.0015370398763277,0.0392051001315864,0.0297170423740836,0.5657600837345872,0.6584732770461382,linear_sfm_et,5,linear_sfm,et
2,0.0020397967629906,0.0451641092349964,0.0344930033441938,0.4908139961328516,0.5391271922539524,linear_sfm_et,5,linear_sfm,et
3,0.0028719447304844,0.0535905283654158,0.0424358472679113,0.343168929522734,0.437542343737212,linear_sfm_et,5,linear_sfm,et
4,0.0016408906001402,0.0405079078716762,0.0297038069828654,0.6515477216455988,0.7038179507591817,linear_sfm_et,5,linear_sfm,et
0,0.0021068452458174,0.0459003839397604,0.0344691695153605,0.5083847933939045,0.596691064042277,linear_sfm_xgb,5,linear_sfm,xgb
1,0.0015992629356877,0.03999078563479,0.0306030720521602,0.5668030776557178,0.6562683707482894,linear_sfm_xgb,5,linear_sfm,xgb
2,0.002384504589646,0.0488313893888553,0.0360715319505082,0.4512340152787694,0.4970805996467128,linear_sfm_xgb,5,linear_sfm,xgb
3,0.0035784204658498,0.0598199002494138,0.0473082508973045,0.1999064722317265,0.2944547900922541,linear_sfm_xgb,5,linear_sfm,xgb
4,0.0016562434797779,0.040696971383359,0.0306186611557513,0.6493597825541108,0.7082634303220723,linear_sfm_xgb,5,linear_sfm,xgb
0,0.0023931981980399,0.0489203249993284,0.0373244878359289,0.4407187316439743,0.5281331726264449,linear_sfm_lgbm,5,linear_sfm,lgbm
1,0.001485489484535,0.0385420482659527,0.0302231026210432,0.6101984640791513,0.6802346667551165,linear_sfm_lgbm,5,linear_sfm,lgbm
2,0.0020997421193407,0.0458229431545027,0.0351335760784383,0.5094431391145126,0.5422192669704062,linear_sfm_lgbm,5,linear_sfm,lgbm
3,0.0030044042017581,0.0548124456830573,0.0445420892079529,0.2950755999078083,0.3973261581989501,linear_sfm_lgbm,5,linear_sfm,lgbm
4,0.0016110441475635,0.040137814434316,0.0291674181753752,0.6665486551103141,0.7089511569613784,linear_sfm_lgbm,5,linear_sfm,lgbm
0,0.0022212430344744,0.0471300650803124,0.0361862556611992,0.4750819401795606,0.5562276910382323,linear_sfm_cb,5,linear_sfm,cb
1,0.0015103587563752,0.0388633343445366,0.0301095563293586,0.5924846656809334,0.6721528110464448,linear_sfm_cb,5,linear_sfm,cb
2,0.0019796235235834,0.044492960382329,0.0336110031210949,0.5288718344802844,0.5701496114337476,linear_sfm_cb,5,linear_sfm,cb
3,0.0028289523111047,0.05318789628388,0.0425837537530356,0.3389149635731517,0.4453344844704415,linear_sfm_cb,5,linear_sfm,cb
4,0.0015161605476671,0.0389379063082129,0.0292073770358472,0.6687800879564565,0.7265263717809173,linear_sfm_cb,5,linear_sfm,cb
0,0.0019732334503851,0.0444210924042297,0.0371050014103968,0.6012642234074095,0.6060747157296379,ridge_sfm_linear,5,ridge_sfm,linear
1,0.0016338099040272,0.0404204144465056,0.0316220182577888,0.565422393079795,0.6285866718730311,ridge_sfm_linear,5,ridge_sfm,linear
2,0.0017276437907411,0.0415649346293386,0.0337431337821064,0.5806546094747524,0.6113457450052185,ridge_sfm_linear,5,ridge_sfm,linear
3,0.0019973022350376,0.0446911874426895,0.0356476623563598,0.5742597511376295,0.6489984211042372,ridge_sfm_linear,5,ridge_sfm,linear
4,0.0016375431278837,0.0404665680269996,0.0327324661651024,0.6554256890841413,0.6965968135183623,ridge_sfm_linear,5,ridge_sfm,linear
0,0.001973404267873,0.0444230150695902,0.0371233643492919,0.6008794170408296,0.6061922596140207,ridge_sfm_ridge,5,ridge_sfm,ridge
1,0.0016774385677215,0.0409565448704059,0.0320326522411764,0.5536887114670758,0.6159788608793744,ridge_sfm_ridge,5,ridge_sfm,ridge
2,0.0017288220871284,0.041579106377223,0.0337522289227366,0.5807615015047137,0.6110312898967674,ridge_sfm_ridge,5,ridge_sfm,ridge
3,0.0020182674340187,0.0449251314301781,0.0359574677799307,0.5696509317470269,0.64440065611526,ridge_sfm_ridge,5,ridge_sfm,ridge
4,0.0016374808324014,0.040465798304265,0.0327382528723127,0.6555069098199204,0.6966143619825675,ridge_sfm_ridge,5,ridge_sfm,ridge
0,0.0019463473130498,0.044117426410092,0.0323931982822959,0.5646477598141831,0.6138259470127998,ridge_sfm_et,5,ridge_sfm,et
1,0.0015370398763277,0.0392051001315864,0.0297170423740836,0.5657600837345872,0.6584732770461382,ridge_sfm_et,5,ridge_sfm,et
2,0.0017807911090867,0.0421994207198002,0.0320778628829224,0.5432210205822937,0.5959721040757291,ridge_sfm_et,5,ridge_sfm,et
3,0.0023497854802277,0.0484745859211581,0.0360507801754719,0.5175943594835959,0.569075115641349,ridge_sfm_et,5,ridge_sfm,et
4,0.0016408906001402,0.0405079078716762,0.0297038069828654,0.6515477216455988,0.7038179507591817,ridge_sfm_et,5,ridge_sfm,et
0,0.0020029639937617,0.0447544857389932,0.0326554080384118,0.5737377413180598,0.6173466685994526,ridge_sfm_xgb,5,ridge_sfm,xgb
1,0.0015992629356877,0.03999078563479,0.0306030720521602,0.5668030776557178,0.6562683707482894,ridge_sfm_xgb,5,ridge_sfm,xgb
