columns,parent_type,agg_type,pretty_type
acc_isol_surfv,Accessibility,,Accessibility
acc_isol_naccess,Accessibility,,Accessibility
acc_isol_nsc,Accessibility,,Accessibility
acc_complex_surfv,Accessibility,,Accessibility
acc_complex_naccess,Accessibility,,Accessibility
acc_complex_nsc,Accessibility,,Accessibility
acc_ifr_surfv,Accessibility,,Accessibility
acc_ifr_naccess,Accessibility,,Accessibility
acc_ifr_nsc,Accessibility,,Accessibility
acc_rsa_surfv,Accessibility,,Accessibility
acc_rsa_naccess,Accessibility,,Accessibility
acc_rsa_nsc,Accessibility,,Accessibility
bsa_ratio_surfv,Accessibility,,Accessibility
bsa_ratio_naccess,Accessibility,,Accessibility
bsa_ratio_nsc,Accessibility,,Accessibility
hb_ms_energy_VD,Residue Contacts,VD,Residue Contacts (VD)
hb_ss_energy_VD,Residue Contacts,VD,Residue Contacts (VD)
hb_sws_energy_VD,Residue Contacts,VD,Residue Contacts (VD)
aromatic_energy_VD,Residue Contacts,VD,Residue Contacts (VD)
total_energy_VD,Residue Contacts,VD,Residue Contacts (VD)
side_chain_angle_3_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
side_chain_angle_4_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
side_chain_angle_5_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
side_chain_angle_6_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
side_chain_angle_7_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
side_chain_average_angle_3_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
side_chain_average_angle_4_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
side_chain_average_angle_5_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
side_chain_average_angle_6_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
side_chain_average_angle_7_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
neighbors_side_chain_angle_3_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
neighbors_side_chain_angle_4_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
neighbors_side_chain_angle_5_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
neighbors_side_chain_angle_6_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
neighbors_side_chain_angle_7_GN,Side Chain Orientation,GN,Side Chain Orientation (GN)
side_chain_angle_3_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_4_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_5_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_6_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_7_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_3_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_4_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_5_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_6_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_7_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_3_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_4_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_5_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_6_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_7_SW_3,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_3_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_4_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_5_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_6_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_7_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_3_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_4_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_5_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_6_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_7_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_3_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_4_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_5_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_6_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_7_SW_5,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_3_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_4_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_5_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_6_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_7_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_3_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_4_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_5_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_6_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_7_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_3_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_4_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_5_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_6_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_7_SW_7,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_3_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_4_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_5_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_6_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_7_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_3_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_4_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_5_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_6_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_average_angle_7_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_3_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_4_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_5_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_6_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
neighbors_side_chain_angle_7_SW_9,Side Chain Orientation,SW,Side Chain Orientation (SW)
side_chain_angle_3_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_angle_4_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_angle_5_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_angle_6_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_angle_7_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_average_angle_3_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_average_angle_4_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_average_angle_5_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_average_angle_6_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_average_angle_7_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
neighbors_side_chain_angle_3_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
neighbors_side_chain_angle_4_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
neighbors_side_chain_angle_5_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
neighbors_side_chain_angle_6_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
neighbors_side_chain_angle_7_WNASurf,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_angle_3_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_angle_4_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_angle_5_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_angle_6_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_angle_7_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_average_angle_3_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_average_angle_4_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_average_angle_5_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_average_angle_6_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_average_angle_7_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
neighbors_side_chain_angle_3_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
neighbors_side_chain_angle_4_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
neighbors_side_chain_angle_5_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
neighbors_side_chain_angle_6_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
neighbors_side_chain_angle_7_WNADist,Side Chain Orientation,WNA,Side Chain Orientation (WNA)
side_chain_angle_3_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
side_chain_angle_4_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
side_chain_angle_5_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
side_chain_angle_6_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
side_chain_angle_7_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
side_chain_average_angle_3_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
side_chain_average_angle_4_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
side_chain_average_angle_5_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
side_chain_average_angle_6_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
side_chain_average_angle_7_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
neighbors_side_chain_angle_3_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
neighbors_side_chain_angle_4_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
neighbors_side_chain_angle_5_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
neighbors_side_chain_angle_6_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
neighbors_side_chain_angle_7_VD,Side Chain Orientation,VD,Side Chain Orientation (VD)
solvation_3_GN,Solvation,GN,Solvation (GN)
solvation_4_GN,Solvation,GN,Solvation (GN)
solvation_5_GN,Solvation,GN,Solvation (GN)
solvation_6_GN,Solvation,GN,Solvation (GN)
solvation_7_GN,Solvation,GN,Solvation (GN)
solvation_3_SW_3,Solvation,SW,Solvation (SW)
solvation_4_SW_3,Solvation,SW,Solvation (SW)
solvation_5_SW_3,Solvation,SW,Solvation (SW)
solvation_6_SW_3,Solvation,SW,Solvation (SW)
solvation_7_SW_3,Solvation,SW,Solvation (SW)
solvation_3_SW_5,Solvation,SW,Solvation (SW)
solvation_4_SW_5,Solvation,SW,Solvation (SW)
solvation_5_SW_5,Solvation,SW,Solvation (SW)
solvation_6_SW_5,Solvation,SW,Solvation (SW)
solvation_7_SW_5,Solvation,SW,Solvation (SW)
solvation_3_SW_7,Solvation,SW,Solvation (SW)
solvation_4_SW_7,Solvation,SW,Solvation (SW)
solvation_5_SW_7,Solvation,SW,Solvation (SW)
solvation_6_SW_7,Solvation,SW,Solvation (SW)
solvation_7_SW_7,Solvation,SW,Solvation (SW)
solvation_3_SW_9,Solvation,SW,Solvation (SW)
solvation_4_SW_9,Solvation,SW,Solvation (SW)
solvation_5_SW_9,Solvation,SW,Solvation (SW)
solvation_6_SW_9,Solvation,SW,Solvation (SW)
solvation_7_SW_9,Solvation,SW,Solvation (SW)
solvation_3_WNASurf,Solvation,WNA,Solvation (WNA)
solvation_4_WNASurf,Solvation,WNA,Solvation (WNA)
solvation_5_WNASurf,Solvation,WNA,Solvation (WNA)
solvation_6_WNASurf,Solvation,WNA,Solvation (WNA)
solvation_7_WNASurf,Solvation,WNA,Solvation (WNA)
solvation_3_WNADist,Solvation,WNA,Solvation (WNA)
solvation_4_WNADist,Solvation,WNA,Solvation (WNA)
solvation_5_WNADist,Solvation,WNA,Solvation (WNA)
solvation_6_WNADist,Solvation,WNA,Solvation (WNA)
solvation_7_WNADist,Solvation,WNA,Solvation (WNA)
solvation_3_VD,Solvation,VD,Solvation (VD)
solvation_4_VD,Solvation,VD,Solvation (VD)
solvation_5_VD,Solvation,VD,Solvation (VD)
solvation_6_VD,Solvation,VD,Solvation (VD)
solvation_7_VD,Solvation,VD,Solvation (VD)
hydrophobic_uc_energy_GN,Unused Contacts,GN,Unused Contacts (GN)
total_energy_GN,Unused Contacts,GN,Unused Contacts (GN)
hydrophobic_uc_energy_SW_3,Unused Contacts,SW,Unused Contacts (SW)
total_energy_SW_3,Unused Contacts,SW,Unused Contacts (SW)
hydrophobic_uc_energy_SW_5,Unused Contacts,SW,Unused Contacts (SW)
total_energy_SW_5,Unused Contacts,SW,Unused Contacts (SW)
hydrophobic_uc_energy_SW_7,Unused Contacts,SW,Unused Contacts (SW)
total_energy_SW_7,Unused Contacts,SW,Unused Contacts (SW)
hydrophobic_uc_energy_SW_9,Unused Contacts,SW,Unused Contacts (SW)
total_energy_SW_9,Unused Contacts,SW,Unused Contacts (SW)
hydrophobic_uc_energy_WNASurf,Unused Contacts,WNA,Unused Contacts (WNA)
total_energy_WNASurf,Unused Contacts,WNA,Unused Contacts (WNA)
hydrophobic_uc_energy_WNADist,Unused Contacts,WNA,Unused Contacts (WNA)
total_energy_WNADist,Unused Contacts,WNA,Unused Contacts (WNA)
hydrophobic_uc_energy_VD,Unused Contacts,VD,Unused Contacts (VD)
total_energy_VD,Unused Contacts,VD,Unused Contacts (VD)
weighted_contact_number_GN,Weighted Contact Number,GN,Weighted Contact Number (GN)
avg_weighted_contact_number_k_2_GN,Weighted Contact Number,GN,Weighted Contact Number (GN)
avg_weighted_contact_number_k_3_GN,Weighted Contact Number,GN,Weighted Contact Number (GN)
avg_weighted_contact_number_k_4_GN,Weighted Contact Number,GN,Weighted Contact Number (GN)
avg_weighted_contact_number_k_5_GN,Weighted Contact Number,GN,Weighted Contact Number (GN)
weighted_contact_number_SW_3,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_2_SW_3,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_3_SW_3,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_4_SW_3,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_5_SW_3,Weighted Contact Number,SW,Weighted Contact Number (SW)
weighted_contact_number_SW_5,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_2_SW_5,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_3_SW_5,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_4_SW_5,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_5_SW_5,Weighted Contact Number,SW,Weighted Contact Number (SW)
weighted_contact_number_SW_7,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_2_SW_7,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_3_SW_7,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_4_SW_7,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_5_SW_7,Weighted Contact Number,SW,Weighted Contact Number (SW)
weighted_contact_number_SW_9,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_2_SW_9,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_3_SW_9,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_4_SW_9,Weighted Contact Number,SW,Weighted Contact Number (SW)
avg_weighted_contact_number_k_5_SW_9,Weighted Contact Number,SW,Weighted Contact Number (SW)
weighted_contact_number_WNASurf,Weighted Contact Number,WNA,Weighted Contact Number (WNA)
avg_weighted_contact_number_k_2_WNASurf,Weighted Contact Number,WNA,Weighted Contact Number (WNA)
avg_weighted_contact_number_k_3_WNASurf,Weighted Contact Number,WNA,Weighted Contact Number (WNA)
avg_weighted_contact_number_k_4_WNASurf,Weighted Contact Number,WNA,Weighted Contact Number (WNA)
avg_weighted_contact_number_k_5_WNASurf,Weighted Contact Number,WNA,Weighted Contact Number (WNA)
weighted_contact_number_WNADist,Weighted Contact Number,WNA,Weighted Contact Number (WNA)
avg_weighted_contact_number_k_2_WNADist,Weighted Contact Number,WNA,Weighted Contact Number (WNA)
avg_weighted_contact_number_k_3_WNADist,Weighted Contact Number,WNA,Weighted Contact Number (WNA)
avg_weighted_contact_number_k_4_WNADist,Weighted Contact Number,WNA,Weighted Contact Number (WNA)
avg_weighted_contact_number_k_5_WNADist,Weighted Contact Number,WNA,Weighted Contact Number (WNA)
weighted_contact_number_VD,Weighted Contact Number,VD,Weighted Contact Number (VD)
avg_weighted_contact_number_k_2_VD,Weighted Contact Number,VD,Weighted Contact Number (VD)
avg_weighted_contact_number_k_3_VD,Weighted Contact Number,VD,Weighted Contact Number (VD)
avg_weighted_contact_number_k_4_VD,Weighted Contact Number,VD,Weighted Contact Number (VD)
avg_weighted_contact_number_k_5_VD,Weighted Contact Number,VD,Weighted Contact Number (VD)
